date,tactic,state,campaign,impression,clicks,spend,attributed revenue,platform,ROAS,CTR,CPC,CPM
2025-05-16,ASC,NY,Facebook - ASC - C01,124603,1888,1442.28,4706.23,Facebook,3.2630487838699835,1.5152123143102494,0.7639194915254237,11.575002207009463
2025-05-17,ASC,NY,Facebook - ASC - C01,139596,2086,1235.47,3674.32,Facebook,2.9740260791439694,1.4943121579414882,0.5922674976030681,8.850325224218459
2025-05-18,ASC,NY,Facebook - ASC - C01,167700,2635,1169.83,3317.04,Facebook,2.8354889171930964,1.571258199165176,0.4439582542694497,6.9757304710793075
2025-05-19,ASC,NY,Facebook - ASC - C01,132781,2045,1775.26,5250.54,Facebook,2.957617475750031,1.540129988477267,0.8680977995110024,13.36983453958021
2025-05-20,ASC,NY,Facebook - ASC - C01,115201,1634,987.1,2409.58,Facebook,2.4410698004254887,1.4183904653605437,0.6041003671970624,8.568502009531167
2025-05-21,ASC,NY,Facebook - ASC - C01,101433,1500,994.24,2607.73,Facebook,2.6228375442549083,1.478808671734051,0.6628266666666667,9.80193822523242
2025-05-22,ASC,NY,Facebook - ASC - C01,364349,5045,3057.92,9265.95,Facebook,3.0301479437002934,1.3846614098021401,0.6061288404360753,8.392832147199526
2025-05-23,ASC,NY,Facebook - ASC - C01,161201,2410,2246.92,6257.68,Facebook,2.785003471418653,1.4950279464767589,0.932331950207469,13.93862320953344
2025-05-24,ASC,NY,Facebook - ASC - C01,194041,2937,1629.88,4530.73,Facebook,2.779793604437136,1.5135976417355095,0.5549472250595846,8.399668111378524
2025-05-25,ASC,NY,Facebook - ASC - C01,258008,4161,2689.69,7821.79,Facebook,2.9080637545590755,1.6127406902111563,0.6464047104061523,10.424831788161608
2025-05-26,ASC,NY,Facebook - ASC - C01,227064,3122,2608.66,6682.26,Facebook,2.5615680080961107,1.3749427474192297,0.8355733504163997,11.488655180918155
2025-05-27,ASC,NY,Facebook - ASC - C01,205140,2828,2752.07,7824.42,Facebook,2.843103554778766,1.3785707321828995,0.9731506364922207,13.415569854733354
2025-05-28,ASC,NY,Facebook - ASC - C01,274009,3830,2057.01,5551.02,Facebook,2.6985867837297826,1.3977643070118135,0.5370783289817233,7.507089183202012
2025-05-29,ASC,NY,Facebook - ASC - C01,362869,5502,3587.44,10916.51,Facebook,3.0429805097785607,1.5162496658573756,0.6520247182842602,9.886322612292592
2025-05-30,ASC,NY,Facebook - ASC - C01,173645,2552,2221.42,6107.35,Facebook,2.749299997299025,1.4696651213683087,0.8704623824451411,12.792882029427856
2025-05-31,ASC,NY,Facebook - ASC - C01,183112,2798,1964.58,5195.72,Facebook,2.6446975943967668,1.5280265629778496,0.7021372408863473,10.728843549303159
2025-06-01,ASC,NY,Facebook - ASC - C01,207865,3222,1318.24,3550.39,Facebook,2.693280434518752,1.5500445000360812,0.40913718187461207,6.341808385250042
2025-06-02,ASC,NY,Facebook - ASC - C01,88685,1422,990.18,2627.67,Facebook,2.653729624916682,1.6034278626599765,0.6963291139240506,11.165135028471557
2025-06-03,ASC,NY,Facebook - ASC - C01,136907,2189,1204.86,3460.55,Facebook,2.8721594210115704,1.5988956006632238,0.550415714938328,8.800572651507956
2025-06-04,ASC,NY,Facebook - ASC - C01,168633,2278,2535.25,6341.69,Facebook,2.5014061729612465,1.350862523942526,1.112928007023705,15.034127365343675
2025-06-05,ASC,NY,Facebook - ASC - C01,269120,4427,2197.12,6647.5,Facebook,3.0255516312263326,1.6449910820451843,0.49629997741133947,8.164090368608798
2025-06-06,ASC,NY,Facebook - ASC - C01,199471,3130,1483.14,4831.43,Facebook,3.2575684021737663,1.569150402815447,0.47384664536741217,7.43536654451023
2025-06-07,ASC,NY,Facebook - ASC - C01,199427,2815,1933.81,4657.49,Facebook,2.4084527435477114,1.411544073771355,0.6869662522202487,9.696831422024099
